spp,act,pass,float,obsn,obst1,n3,seq
45451,12476,45451,0,1,339256,15,$=?>$BUB?O^A>CC
45450,37843,37843,0,1,339256,54,HHLUEUWIYJRIXVUUYGRHJLWWRE$BUBO^B>C$=?>$$BLUBO%}OYHOB
45450,37843,45450,0,1,339256,54,HHLUEUWIYJRIXVUUYGRHJLWWRE$BUBO^B>C$=?>$$BLUBO%}OYHOB
45449,45140,37843,0,1,339255,0,UUYGRHJ?RWWRE$BLUBO^>C$=?>$$BLUBO}^BX>C$=?>$$BLUBO}OZHOB
45448,34444,34444,0,1,339235,62,EWLHHHRLUEUWJYJRIXUVUYGRHJLRWWRE$BLUBO^B>C=?>$$BBLUBOM%}OYHOB
45447,44504,39981,0,1,339233,62,$=?>$$BUBO^B>C$=?>$BLUBO%}}Z^OB
45446,39981,39981,0,1,339228,62,$=?>$$BUBO^B>C$=?>$BNLUBO%}}Y^OB
45445,45312,44476,0,1,339228,0,UUYGRHJLRWWRE$BLUBO^>C$=?>$$BLUBO}^BX>C$T?>$$BLUBO}OYHOBHLUEUWIYJRIXVUUYGRHFJLWWRE$BLUBO^B>C$=?>$$BLUBO%}OYHOB
45444,42474,45368,0,2,339225,0,UUYGRHJLRWWSE$BLUBO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHOB>$$BLUBO}OYHO
45443,12476,12476,0,1,339211,64,$=?>$$BUBO^B>C$=N?>$$BLUBO%}Y^OLB
45442,44452,44452,0,1,339203,50,HHLUEUWIYJR^XVUUYGHJLWRE$BLUBO^B>C$=?>$$BLUB%}OYH
45441,45383,45112,0,1,339202,46,$=?>$$BUBP^B>C$=N?>$$BLUBO$=?>$CUCOO
45440,44452,45247,0,1,339201,104,BHJLRWWSE$BLUBO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHO
45438,24813,24813,0,1,339193,78,$=?>$$BUBO^B>C$=N?>$$BLUB}%}}Y^OB$=?>$$BUBO^B>C$=N?>$$BLUB}%}}Y^OB$=?$$$
45437,42474,45309,0,1,339182,0,UUYGRHJLRWWSE$BLUBO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHOB$?>$$BLUBO}OYHO
45436,39981,39981,0,1,339162,62,$=?>$$BUBO^B>C$=?Q$BLUBO%}}Y^OB
